"","stdrYm","cntrbtrSeccd","cntrCo","cntrbtrCo"
"919","201601","03","11","1"
"920","201601","03","23","2"
"921","201601","02","1","1"
"922","201601","02","28","1"
"923","201601","02","21","1"
"924","201601","02","16","1"
"925","201601","02","4","1"
"926","201601","02","19","1"
"927","201601","02","1","1"
"928","201601","01","6","1"
"929","201601","01","27","1"
"930","201601","01","13","1"
"931","201601","01","14","1"
"932","201601","01","2","1"
"933","201601","01","27","1"
"934","201601","01","20","1"
"935","201601","01","4","1"
"936","201601","01","2","1"
"937","201601","01","42","1"
"938","201601","01","1","1"
"939","201601","01","1","1"
"940","201601","01","9","1"
"941","201601","01","1","1"
"942","201601","02","2","1"
"943","201601","01","1","1"
"944","201601","01","1","1"
"945","201601","01","1","1"
"946","201601","01","22","1"
"947","201601","02","9","1"
"948","201601","02","12","1"
"949","201601","02","17","1"
"950","201601","02","1","1"
"951","201601","02","1","1"
"952","201601","01","1","1"
"953","201601","01","10","1"
"954","201601","01","24","1"
"955","201601","01","12","1"
"956","201601","01","32","1"
"957","201601","01","2","1"
"958","201601","03","1","1"
"959","201601","03","1","1"
"960","201601","02","1","1"
"961","201601","02","2","1"
"962","201601","02","11","1"
"963","201601","02","4","1"
"964","201601","01","8","1"
"965","201601","01","7","1"
"966","201601","01","19","1"
"967","201601","01","11","1"
"968","201601","01","16","1"
"969","201601","01","11","1"
"970","201601","01","2","1"
"971","201601","01","10","1"
"972","201601","01","2","1"
"973","201601","01","1","1"
"974","201601","01","2","1"
"975","201601","01","2","1"
"976","201601","01","16","1"
"977","201601","01","2","1"
"978","201601","01","8","1"
"979","201601","01","20","1"
"980","201601","01","1","1"
"981","201601","01","15","1"
"982","201601","01","13","1"
"983","201601","01","4","1"
"984","201601","01","3","1"
"985","201601","01","14","1"
"986","201601","01","8","1"
"987","201601","01","4","1"
"988","201601","01","8","1"
"989","201601","01","8","1"
"990","201601","01","15","1"
"991","201601","01","8","1"
"992","201601","01","7","1"
"993","201601","01","1","1"
"994","201601","01","8","1"
"995","201601","01","4","1"
"996","201601","01","6","1"
"997","201601","01","19","1"
"998","201601","01","20","1"
"999","201601","01","9","1"
"1000","201601","01","3","1"
"1001","201601","01","7","1"
"1002","201601","01","8","1"
"1003","201601","01","1","1"
"1004","201601","01","4","1"
"1005","201601","01","6","1"
"1006","201601","01","9","1"
"1007","201601","01","7","1"
"1008","201601","01","12","1"
"1009","201601","01","11","1"
"1010","201601","02","18","1"
"1011","201601","02","9","1"
"1012","201601","02","9","1"
"1013","201601","02","1","1"
"1014","201601","01","16","1"
"1015","201601","01","29","1"
"1016","201601","01","1","1"
"1017","201601","01","18","1"
"1018","201601","01","18","1"
"1019","201601","01","10","1"
"1020","201601","01","1","1"
"1021","201601","01","1","1"
"1022","201601","01","5","1"
"1023","201601","01","2","1"
"1024","201601","01","20","1"
"1025","201601","01","28","1"
"1026","201601","01","17","1"
"1027","201601","02","1","1"
"1028","201601","02","4","1"
"1029","201601","02","17","1"
"1030","201601","02","1","1"
"1031","201601","01","1","1"
"1032","201601","01","20","1"
"1033","201601","01","1","1"
"1034","201601","01","1","1"
"1035","201601","01","18","1"
"1036","201601","01","2","1"
"1037","201601","01","6","1"
"1038","201601","01","1","1"
"1039","201601","01","17","1"
"1040","201601","01","12","1"
"1041","201601","01","20","1"
"1042","201601","01","20","1"
"1043","201601","01","1","1"
"1044","201601","01","21","1"
"1045","201601","01","7","1"
"1046","201601","02","12","1"
"1047","201601","02","4","1"
"1048","201601","02","9","1"
"1049","201601","02","21","1"
"1050","201601","02","19","1"
"1051","201601","02","17","1"
"1052","201601","02","6","1"
"1053","201601","02","16","1"
"1054","201601","02","33","1"
"1055","201601","02","19","1"
"1056","201601","02","21","1"
"1057","201601","02","5","1"
"1058","201601","02","20","1"
"1059","201601","02","4","1"
"1060","201601","02","1","1"
"1061","201601","02","11","1"
